address,amountReceived,blockNumber,time,logIndex,txid
0x620d995Bf5D77A3C837A508CB3bA46dA5Fdf2146,30,19915660,Fri Sep 16 2022 07:19:18 GMT+0700 (Indochina Time),779,0x2ae7a3339ee55afaaf92976a00aa8a74a420fd1e64769ff6b14b09636e7415c6
0x620d995Bf5D77A3C837A508CB3bA46dA5Fdf2146,1.25,19949775,Sat Sep 17 2022 07:37:50 GMT+0700 (Indochina Time),545,0xbffba2832d19ba5d0c0a405d921d997b511401214cacad70511e88fbf477a5e3
0x620d995Bf5D77A3C837A508CB3bA46dA5Fdf2146,30,19949781,Sat Sep 17 2022 07:38:03 GMT+0700 (Indochina Time),45,0xfcb65956ee82f3c9fa47948e6e05489bf46fab742eaf0913d217bddb79725416
0x620d995Bf5D77A3C837A508CB3bA46dA5Fdf2146,30,19950066,Sat Sep 17 2022 07:50:16 GMT+0700 (Indochina Time),693,0x67172878a911d718a8682eb4f138755f142443d97a903f1d734753c6ad8d82bd
0x620d995Bf5D77A3C837A508CB3bA46dA5Fdf2146,5,20117277,Thu Sep 22 2022 07:19:47 GMT+0700 (Indochina Time),23,0x27344445345be75214300735a8b60698a5b2f1ead3849283f716a41ee4063d59
0x620d995Bf5D77A3C837A508CB3bA46dA5Fdf2146,30.000000000000004,20117549,Thu Sep 22 2022 07:31:57 GMT+0700 (Indochina Time),59,0x2ded9a05fc7e1b9932b5a3c6d37bbfc71ec6c86117e7dcf63d905b5732452352
0x620d995Bf5D77A3C837A508CB3bA46dA5Fdf2146,5.749999999999999,20156432,Fri Sep 23 2022 07:53:42 GMT+0700 (Indochina Time),737,0x20a3dc9e2041bb2001461766d081d0e89710d49df7d288f3786982389b6a7d36
0x620d995Bf5D77A3C837A508CB3bA46dA5Fdf2146,1.4374999999999998,20156438,Fri Sep 23 2022 07:53:54 GMT+0700 (Indochina Time),35,0x728862ec1ee99d98cc35fff5816a8c721743968e2ca2e0c477c38b042e79af74
0x620d995Bf5D77A3C837A508CB3bA46dA5Fdf2146,2.8749999999999996,20156786,Fri Sep 23 2022 08:06:10 GMT+0700 (Indochina Time),31,0x5f9c4b28314ac3ed7ee71a8ea4bf21bf7985de7f85de3a7db2945e1569d9bb80
0x620d995Bf5D77A3C837A508CB3bA46dA5Fdf2146,37.5,20197224,Sat Sep 24 2022 07:52:45 GMT+0700 (Indochina Time),35,0x1fb4fdbf402a71be4f5899eed1a489ab7c96dda6e2148499ca85b8dee65257a5
0x620d995Bf5D77A3C837A508CB3bA46dA5Fdf2146,12.5,20197239,Sat Sep 24 2022 07:53:19 GMT+0700 (Indochina Time),143,0x4c7aa5e289245e515f70c66d1802134cadc9cb841537ab5fd744eebf22cbd8fd
